series_id,title,occurrence,date,distribution,decision_density,topic_focus,attention,vitality
S02,Roadmap Review,7,2025-12-22,99.9,100.0,7.2,80.7,77.5
S02,Roadmap Review,8,2025-12-29,99.7,100.0,10.9,89.6,80.0
S02,Roadmap Review,9,2026-01-05,99.7,100.0,18.8,90.2,81.7
S02,Roadmap Review,10,2026-01-12,99.9,100.0,15.7,86.6,80.4
S02,Roadmap Review,11,2026-01-19,99.6,100.0,21.1,81.7,80.4
S02,Roadmap Review,12,2026-01-26,99.3,100.0,17.5,83.3,79.9
S02,Roadmap Review,13,2026-02-02,99.9,100.0,17.8,84.0,80.4
S02,Roadmap Review,14,2026-02-09,99.8,100.0,17.0,90.2,81.4
S02,Roadmap Review,15,2026-02-16,99.3,100.0,14.8,84.8,79.7
S02,Roadmap Review,16,2026-02-23,99.3,100.0,15.3,84.5,79.7
S02,Roadmap Review,17,2026-03-02,99.7,66.7,7.7,80.4,67.5
S02,Roadmap Review,18,2026-03-09,99.7,100.0,18.9,82.7,80.2
S02,Roadmap Review,19,2026-03-16,99.5,100.0,12.9,83.8,79.2
S02,Roadmap Review,20,2026-03-23,99.9,100.0,16.1,88.8,80.9
S02,Roadmap Review,21,2026-03-30,99.7,100.0,20.6,87.7,81.6
S02,Roadmap Review,22,2026-04-06,99.8,100.0,18.5,86.0,80.8
S02,Roadmap Review,23,2026-04-13,99.8,100.0,12.7,84.5,79.4
S02,Roadmap Review,24,2026-04-20,99.2,100.0,14.7,88.6,80.4
S02,Roadmap Review,25,2026-04-27,99.6,100.0,16.1,91.3,81.3
S03,Status Round-Table,0,2025-11-03,99.7,100.0,21.1,78.2,79.8
S03,Status Round-Table,1,2025-11-10,99.6,100.0,20.8,84.2,80.9
S03,Status Round-Table,2,2025-11-17,99.7,100.0,20.7,88.1,81.7
S03,Status Round-Table,3,2025-11-24,99.6,100.0,15.8,78.1,78.7
S03,Status Round-Table,4,2025-12-01,99.8,100.0,22.0,86.8,81.7
S03,Status Round-Table,5,2025-12-08,99.6,100.0,20.0,81.1,80.1
S03,Status Round-Table,6,2025-12-15,99.7,100.0,23.0,80.7,80.6
S03,Status Round-Table,7,2025-12-22,99.8,100.0,22.8,85.0,81.5
S03,Status Round-Table,8,2025-12-29,71.1,100.0,20.0,86.1,72.6
S03,Status Round-Table,9,2026-01-05,78.1,100.0,13.6,88.9,73.9
S03,Status Round-Table,10,2026-01-12,66.1,100.0,14.3,81.1,68.9
S03,Status Round-Table,11,2026-01-19,76.4,100.0,16.1,84.5,73.0
S03,Status Round-Table,12,2026-01-26,74.9,100.0,10.6,85.1,71.6
S03,Status Round-Table,13,2026-02-02,69.1,0.0,13.7,90.6,41.6
S03,Status Round-Table,14,2026-02-09,74.1,33.3,9.9,39.2,42.0
S03,Status Round-Table,15,2026-02-16,76.3,0.0,12.3,46.4,34.6
S03,Status Round-Table,16,2026-02-23,82.5,100.0,6.9,51.3,66.4
S03,Status Round-Table,17,2026-03-02,77.6,66.7,10.5,50.5,55.5
S03,Status Round-Table,18,2026-03-09,73.6,0.0,3.6,43.2,31.5
S03,Status Round-Table,19,2026-03-16,74.5,0.0,14.0,35.3,32.2
S03,Status Round-Table,20,2026-03-23,81.5,66.7,5.5,47.9,55.1
S03,Status Round-Table,21,2026-03-30,81.6,33.3,11.9,48.7,46.6
S03,Status Round-Table,22,2026-04-06,71.8,0.0,7.1,43.9,31.7
S03,Status Round-Table,23,2026-04-13,73.7,33.3,6.0,49.8,43.3
S03,Status Round-Table,24,2026-04-20,72.6,0.0,4.5,50.5,32.8
S03,Status Round-Table,25,2026-04-27,75.1,66.7,3.6,51.4,53.5
S04,Design Critique,0,2025-11-03,99.5,66.7,14.8,79.4,68.7
S04,Design Critique,1,2025-11-10,99.4,100.0,15.7,90.9,81.1
S04,Design Critique,2,2025-11-17,99.8,66.7,16.7,85.7,70.4
S04,Design Critique,3,2025-11-24,98.9,100.0,22.5,82.2,80.6
S04,Design Critique,4,2025-12-01,99.4,66.7,18.3,84.5,70.4
S04,Design Critique,5,2025-12-08,99.9,66.7,16.3,82.0,69.6
S04,Design Critique,6,2025-12-15,99.7,33.3,14.6,84.6,59.8
S04,Design Critique,7,2025-12-22,99.9,100.0,18.6,86.0,80.9
S04,Design Critique,8,2025-12-29,99.6,100.0,17.5,86.8,80.7
S04,Design Critique,9,2026-01-05,99.9,100.0,16.1,85.7,80.3
S04,Design Critique,10,2026-01-12,99.5,100.0,18.2,89.9,81.5
S04,Design Critique,11,2026-01-19,99.9,100.0,25.4,86.3,82.3
S04,Design Critique,12,2026-01-26,99.2,100.0,18.9,85.0,80.5
S04,Design Critique,13,2026-02-02,99.9,100.0,15.6,80.7,79.2
S04,Design Critique,14,2026-02-09,99.7,100.0,15.6,83.2,79.7
S04,Design Critique,15,2026-02-16,99.3,100.0,24.1,88.4,82.3
S04,Design Critique,16,2026-02-23,99.1,100.0,19.4,82.0,80.0
S04,Design Critique,17,2026-03-02,99.3,66.7,20.3,83.1,70.5
S04,Design Critique,18,2026-03-09,100.0,100.0,17.2,83.9,80.2
S04,Design Critique,19,2026-03-16,99.0,66.7,21.1,91.9,72.3
S04,Design Critique,20,2026-03-23,100.0,100.0,18.5,91.0,81.9
S04,Design Critique,21,2026-03-30,99.7,100.0,18.8,86.4,81.0
S04,Design Critique,22,2026-04-06,99.9,100.0,20.3,84.0,80.8
S04,Design Critique,23,2026-04-13,99.5,100.0,20.3,90.1,81.9
S04,Design Critique,24,2026-04-20,99.3,100.0,13.2,90.7,80.6
S04,Design Critique,25,2026-04-27,99.1,100.0,17.7,84.3,80.1
S05,Old All-Hands Prep,0,2025-11-03,99.5,100.0,24.0,78.3,80.3
S05,Old All-Hands Prep,1,2025-11-10,99.6,100.0,18.8,80.6,79.8
S05,Old All-Hands Prep,2,2025-11-17,99.7,100.0,21.0,86.1,81.3
S05,Old All-Hands Prep,3,2025-11-24,99.6,100.0,20.8,79.7,80.0
S05,Old All-Hands Prep,4,2025-12-01,99.3,100.0,20.7,79.9,79.9
S05,Old All-Hands Prep,5,2025-12-08,99.9,100.0,20.0,85.0,81.0
S05,Old All-Hands Prep,6,2025-12-15,99.7,100.0,19.0,85.5,80.8
S05,Old All-Hands Prep,7,2025-12-22,99.6,100.0,18.5,90.4,81.6
S05,Old All-Hands Prep,8,2025-12-29,59.3,100.0,16.9,89.8,69.1
S05,Old All-Hands Prep,9,2026-01-05,59.5,100.0,22.2,88.5,70.0
S05,Old All-Hands Prep,10,2026-01-12,57.9,66.7,18.6,86.3,58.4
S05,Old All-Hands Prep,11,2026-01-19,53.8,66.7,16.7,82.9,56.0
S05,Old All-Hands Prep,12,2026-01-26,54.2,33.3,15.3,81.6,45.6
S05,Old All-Hands Prep,13,2026-02-02,65.7,100.0,15.5,87.8,70.4
S05,Old All-Hands Prep,14,2026-02-09,61.0,100.0,11.7,51.0,60.8
S05,Old All-Hands Prep,15,2026-02-16,62.8,100.0,16.9,48.3,61.9
S05,Old All-Hands Prep,16,2026-02-23,60.6,66.7,10.3,44.9,49.2
S05,Old All-Hands Prep,17,2026-03-02,65.8,0.0,10.5,48.4,31.5
S05,Old All-Hands Prep,18,2026-03-09,69.6,0.0,9.7,45.6,31.9
S05,Old All-Hands Prep,19,2026-03-16,67.2,100.0,11.5,52.6,63.0
S05,Old All-Hands Prep,20,2026-03-23,50.5,33.3,8.0,43.4,35.4
S05,Old All-Hands Prep,21,2026-03-30,63.8,0.0,4.9,51.9,30.5
S05,Old All-Hands Prep,22,2026-04-06,59.2,0.0,12.8,52.0,30.7
S05,Old All-Hands Prep,23,2026-04-13,63.9,66.7,4.0,36.9,47.3
S05,Old All-Hands Prep,24,2026-04-20,59.3,33.3,2.2,50.0,38.2
S05,Old All-Hands Prep,25,2026-04-27,70.5,0.0,1.7,50.0,31.5
S06,Incident Postmortem,0,2025-11-03,99.8,100.0,11.2,87.1,79.6
S06,Incident Postmortem,1,2025-11-10,99.7,100.0,13.0,84.3,79.4
S06,Incident Postmortem,2,2025-11-17,99.8,100.0,13.0,84.0,79.3
S06,Incident Postmortem,3,2025-11-24,99.1,100.0,11.1,87.7,79.5
S06,Incident Postmortem,4,2025-12-01,99.8,100.0,11.1,90.6,80.3
S06,Incident Postmortem,5,2025-12-08,99.7,100.0,8.5,89.5,79.5
S06,Incident Postmortem,6,2025-12-15,99.7,100.0,10.8,75.7,77.2
S06,Incident Postmortem,7,2025-12-22,99.9,100.0,13.3,90.1,80.7
S06,Incident Postmortem,8,2025-12-29,99.9,100.0,5.9,89.6,79.1
S06,Incident Postmortem,9,2026-01-05,99.3,100.0,15.1,81.1,79.0
S06,Incident Postmortem,10,2026-01-12,99.8,100.0,12.1,83.0,78.9
S06,Incident Postmortem,11,2026-01-19,99.8,100.0,9.9,81.1,78.1
S06,Incident Postmortem,12,2026-01-26,99.4,100.0,13.9,83.8,79.4
S06,Incident Postmortem,13,2026-02-02,100.0,100.0,13.2,89.8,80.6
S06,Incident Postmortem,14,2026-02-09,99.6,100.0,13.3,86.4,79.8
S06,Incident Postmortem,15,2026-02-16,99.9,100.0,12.2,82.5,78.9
S06,Incident Postmortem,16,2026-02-23,99.5,100.0,8.2,82.7,78.0
S06,Incident Postmortem,17,2026-03-02,99.8,100.0,11.3,83.7,78.9
S06,Incident Postmortem,18,2026-03-09,100.0,100.0,5.5,87.1,78.5
S06,Incident Postmortem,19,2026-03-16,99.8,100.0,11.0,84.9,79.1
S06,Incident Postmortem,20,2026-03-23,99.8,100.0,15.9,87.2,80.6
S06,Incident Postmortem,21,2026-03-30,99.6,100.0,13.8,85.3,79.7
S06,Incident Postmortem,22,2026-04-06,99.7,100.0,13.0,84.5,79.4
S06,Incident Postmortem,23,2026-04-13,99.9,100.0,14.1,84.0,79.6
S06,Incident Postmortem,24,2026-04-20,99.4,100.0,14.9,83.2,79.4
S06,Incident Postmortem,25,2026-04-27,99.8,100.0,12.2,77.6,77.9
